Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
As-82	1.0687e+13	3.8783e+11	1.4538e-09	8.5322e-01
As-82m	8.2707e+11	4.2153e+10	1.1251e-10	9.6952e-02
As-83	1.0038e+13	5.1923e+11	1.3822e-09	1.1423e+00
As-84	1.0714e+12	1.7681e+11	1.4931e-10	2.6522e-01
As-85	5.4051e+11	1.8538e+11	7.6230e-11	0.0000e+00
As-86	4.1886e+10	3.0723e+10	5.9772e-12	0.0000e+00
As-87	6.1769e+10	7.6456e+10	8.9175e-12	0.0000e+00
Se-77	4.8059e+01	0.0000e+00	6.1385e-21	0.0000e+00
Se-78	1.3472e+10	0.0000e+00	1.7431e-12	0.0000e+00
Se-79	1.0856e+14	8.0832e+00	1.4227e-08	5.4965e-08
Se-79m	1.4355e+13	4.2304e+10	1.8811e-09	1.0999e-01
Se-80	6.2344e+14	0.0000e+00	8.2733e-08	0.0000e+00
Se-81	4.3178e+14	2.7036e+11	5.8018e-08	4.0554e+00
Se-81m	2.8207e+13	5.6888e+09	3.7900e-09	2.9013e-01
Se-82	1.7396e+15	0.0000e+00	2.3663e-07	0.0000e+00
Se-83	1.2017e+15	6.2255e+11	1.6546e-07	2.1167e+01
Se-83m	5.1547e+12	5.0969e+10	7.0975e-10	1.6820e+03
Se-84	3.5139e+14	1.2452e+12	4.8966e-08	4.6073e+04
Se-85	3.4990e+13	7.6508e+11	4.9341e-09	2.8308e+04
Se-86	2.7231e+13	1.3199e+12	3.8853e-09	0.0000e+00
Se-87	9.1612e+12	1.1546e+12	1.3224e-09	0.0000e+00
Se-88	8.9890e+11	4.0724e+11	1.3125e-10	0.0000e+00
Se-89	4.3833e+10	7.4104e+10	6.4733e-12	0.0000e+00
Se-90	1.3307e+07	5.7292e+07	1.9874e-15	0.0000e+00
Br-79	1.0983e+04	0.0000e+00	1.4393e-18	0.0000e+00
Br-81	6.4008e+14	0.0000e+00	8.6004e-08	0.0000e+00
Br-82	1.7344e+08	9.4652e+02	2.3593e-14	5.9631e-07
Br-82m	6.9065e+07	1.3016e+05	9.3946e-15	7.0285e-05
Br-83	1.4536e+15	1.1662e+11	2.0014e-07	5.5976e+00
Br-84	2.4500e+15	8.9116e+11	3.4139e-07	3.2973e+01
Br-84m	1.3517e+13	2.6025e+10	1.8835e-09	6.5063e+02
Br-85	2.8202e+14	1.1235e+12	3.9767e-08	5.6173e+03
Br-86	1.3251e+14	1.6700e+12	1.8906e-08	9.0180e+03
Br-87	2.4754e+14	3.0832e+12	3.5728e-08	3.6998e+02
Br-88	5.9213e+13	2.5195e+12	8.6451e-09	7.0547e+03
Br-89	1.0464e+13	1.6485e+12	1.5452e-09	0.0000e+00
Br-90	2.3261e+12	8.3975e+11	3.4736e-10	0.0000e+00
Br-91	2.6458e+11	3.3899e+11	3.9952e-11	0.0000e+00
Br-92	2.0120e+10	4.0658e+10	3.0716e-12	0.0000e+00
Br-93	7.0780e+00	4.8099e+01	1.0924e-21	0.0000e+00
Kr-82	6.1187e+06	0.0000e+00	8.3227e-16	0.0000e+00
Kr-83	1.6545e+13	0.0000e+00	2.2780e-09	0.0000e+00
Kr-83m	1.5179e+14	1.5970e+10	2.0898e-08	2.5552e+01
Kr-84	1.8625e+15	0.0000e+00	2.5951e-07	0.0000e+00
Kr-85	5.4468e+13	1.1123e+05	7.6800e-09	4.2266e+00
Kr-85m	3.4671e+15	1.4901e+11	4.8886e-07	5.8113e+03
Kr-86	6.6134e+15	0.0000e+00	9.4345e-07	0.0000e+00
Kr-87	1.0603e+16	1.6054e+12	1.5303e-06	8.9901e+04
Kr-88	1.6592e+16	1.1249e+12	2.4222e-06	2.2498e+05
Kr-89	1.8664e+15	6.8448e+12	2.7557e-07	3.2855e+04
Kr-90	3.4005e+14	7.2928e+12	5.0774e-08	9.4806e+03
Kr-91	6.3393e+13	5.1273e+12	9.5712e-09	0.0000e+00
Kr-92	6.7615e+12	2.5471e+12	1.0321e-09	0.0000e+00
Kr-93	1.3660e+12	7.3628e+11	2.1080e-10	0.0000e+00
Kr-94	4.0275e+10	1.3168e+11	6.2822e-12	0.0000e+00
Kr-95	2.2617e+07	1.3752e+08	3.5656e-15	0.0000e+00
Rb-85	2.0005e+14	0.0000e+00	2.8208e-08	0.0000e+00
Rb-86	1.1750e+07	5.0597e+00	1.6763e-15	4.7055e-09
Rb-86m	1.0623e+05	1.2067e+03	1.5155e-17	5.9129e-10
Rb-87	3.0904e+15	1.4112e-03	4.4600e-07	7.0561e-13
Rb-88	1.1379e+15	7.3967e+11	1.6612e-07	1.1835e+01
Rb-89	8.6329e+15	6.5829e+12	1.2746e-06	9.2161e+01
Rb-90	1.5062e+15	6.6077e+12	2.2489e-07	5.8809e+01
Rb-90m	7.5387e+14	2.0254e+12	1.1256e-07	3.6456e+01
Rb-91	7.1677e+14	8.5073e+12	1.0821e-07	2.9776e+01
Rb-92	4.7400e+13	7.3141e+12	7.2349e-09	2.3405e+00
Rb-93	4.5296e+13	5.3762e+12	6.9893e-09	3.3332e+00
Rb-94	9.7788e+12	2.5086e+12	1.5252e-09	7.5257e-01
Rb-95	6.3145e+11	1.1588e+12	9.9538e-11	0.0000e+00
Rb-96	7.4926e+10	2.5584e+11	1.1936e-11	0.0000e+00
