Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
In-120	2.1120e+01	4.7531e+00	4.2053e-21	8.0803e-12
In-123	1.8102e+01	2.0336e+00	3.6946e-21	6.5077e-12
In-125	1.8387e+08	5.4003e+07	3.8139e-14	1.0801e-04
In-127	1.5289e+08	9.7227e+07	3.2222e-14	1.1667e-04
In-129	2.3491e+00	2.6692e+00	5.0288e-22	0.0000e+00
In-131	2.2310e+07	5.5228e+07	4.8504e-15	0.0000e+00
In-132	1.3226e+01	4.4288e+01	2.8976e-21	0.0000e+00
Sn-117	3.1737e+01	0.0000e+00	6.1609e-21	0.0000e+00
Sn-120	8.3751e+03	0.0000e+00	1.6675e-18	0.0000e+00
Sn-123	1.1807e+02	7.3312e-06	2.4096e-20	5.9383e-14
Sn-123m	2.5741e+03	7.4231e-01	5.2534e-19	2.0042e-11
Sn-124	1.5164e+06	0.0000e+00	3.1199e-16	0.0000e+00
Sn-125	3.6254e+10	3.0171e+04	7.5196e-12	9.3531e-05
Sn-125m	3.5726e+10	4.3354e+07	7.4102e-12	6.5031e+01
Sn-126	2.6274e+14	2.5091e+01	5.4932e-08	7.0255e-07
Sn-127	4.2184e+14	3.8677e+10	8.8898e-08	5.0280e+00
Sn-127m	5.7930e+11	1.6204e+09	1.2208e-10	1.9445e+03
Sn-128	1.1982e+15	2.3434e+11	2.5450e-07	2.1559e+01
Sn-128m	2.1756e+12	2.3201e+11	4.6211e-10	6.9602e+03
Sn-129	6.8789e+13	3.5636e+11	1.4725e-08	4.2763e+05
Sn-129m	1.7743e+14	2.9706e+11	3.7981e-08	1.2476e+06
Sn-130	2.6501e+14	8.2300e+11	5.7171e-08	1.9752e+06
Sn-130m	1.2111e+14	8.2300e+11	2.6126e-08	9.0530e+05
Sn-131	5.3983e+13	6.6818e+11	1.1736e-08	3.7418e+05
Sn-131m	5.6292e+13	6.6813e+11	1.2237e-08	6.0800e+05
Sn-132	5.1260e+13	8.9498e+11	1.1229e-08	0.0000e+00
Sn-133	4.3899e+11	2.0841e+11	9.6896e-11	0.0000e+00
Sn-134	4.0531e+10	2.6756e+10	9.0139e-12	0.0000e+00
Sn-135	3.6567e+01	4.7823e+01	8.1933e-21	0.0000e+00
Sb-123	9.5967e+02	0.0000e+00	1.9586e-19	0.0000e+00
Sb-125	1.2227e+11	9.7357e+02	2.5360e-11	1.1683e-05
Sb-126	1.6438e+04	1.0678e-02	3.4368e-18	3.4170e-11
Sb-126m	1.5836e+05	9.5531e+01	3.3109e-17	1.9106e-09
Sb-126m2	1.6341e+03	1.0297e+02	3.4165e-19	1.9564e-11
Sb-127	7.8493e+13	1.6356e+08	1.6541e-08	3.1077e-01
Sb-128	1.0814e+13	2.3110e+08	2.2970e-09	9.7062e-02
Sb-128m	1.6842e+14	1.8708e+11	3.5772e-08	2.8063e+00
Sb-129	2.2871e+15	1.0008e+11	4.8957e-07	2.5020e+01
Sb-129m	7.3792e+13	4.8162e+10	1.5796e-08	1.3967e+00
Sb-130	2.2795e+15	6.6667e+11	4.9173e-07	3.5333e+01
Sb-130m	8.0563e+14	1.4773e+12	1.7379e-07	1.9205e+01
Sb-131	6.3881e+15	3.2044e+12	1.3887e-06	1.4099e+02
Sb-132	6.9341e+14	2.8712e+12	1.5189e-07	1.8088e+01
Sb-132m	4.6573e+14	1.3123e+12	1.0202e-07	1.1810e+01
Sb-133	7.8514e+14	3.6281e+12	1.7329e-07	1.5601e+01
Sb-134	6.3508e+11	5.6437e+11	1.4123e-10	0.0000e+00
Sb-134m	7.8765e+12	5.4216e+11	1.7516e-09	0.0000e+00
Sb-135	5.3308e+11	2.2007e+11	1.1944e-10	0.0000e+00
Sb-136	2.3150e+10	1.7385e+10	5.2255e-12	0.0000e+00
Sb-137	3.6101e+07	5.5608e+07	8.2090e-15	0.0000e+00
Te-125	1.1231e+06	0.0000e+00	2.3294e-16	0.0000e+00
Te-125m	3.3714e+05	4.7120e-02	6.9926e-17	1.9791e-10
Te-126	1.3027e+05	0.0000e+00	2.7236e-17	0.0000e+00
Te-127	1.6888e+11	3.4777e+06	3.5588e-11	4.8688e-04
Te-127m	3.3963e+10	2.4997e+03	7.1571e-12	2.4497e-05
Te-128	2.9122e+14	7.2687e-13	6.1852e-08	2.8348e-18
Te-129	1.2121e+14	2.0119e+10	2.5946e-08	7.8464e-01
Te-129m	1.2094e+14	2.8876e+07	2.5887e-08	2.2812e-01
Te-130	5.6085e+15	0.0000e+00	1.2098e-06	0.0000e+00
Te-131	4.2625e+15	1.9697e+12	9.2657e-07	5.5151e+01
Te-131m	1.7370e+15	1.0059e+10	3.7759e-07	9.4550e+00
Te-132	2.2144e+16	5.5446e+10	4.8503e-06	1.1089e+02
Te-133	5.3046e+15	4.9025e+12	1.1707e-06	9.8049e+01
Te-133m	1.2988e+16	2.7084e+12	2.8665e-06	2.3563e+02
Te-134	2.4062e+16	6.6501e+12	5.3505e-06	4.5220e+02
Te-135	1.3817e+14	5.0406e+12	3.0955e-08	2.9236e+03
Te-136	5.0566e+13	2.0029e+12	1.1413e-08	0.0000e+00
Te-137	2.1313e+12	5.9330e+11	4.8460e-10	0.0000e+00
Te-138	2.0264e+11	1.0033e+11	4.6411e-11	0.0000e+00
Te-139	1.5973e+02	3.1907e+02	3.6851e-20	0.0000e+00
I-126	3.9284e+02	2.4374e-04	8.2132e-20	2.3887e-12
I-127	3.2518e+09	0.0000e+00	6.8526e-13	0.0000e+00
I-128	1.9897e+06	9.1979e+02	4.2259e-16	1.8396e-08
I-129	2.3955e+13	3.3514e-02	5.1277e-09	1.2065e-09
I-130	4.6907e+07	7.3070e+02	1.0119e-14	4.8957e-07
I-130m	2.0925e+07	2.7345e+04	4.5137e-15	1.3126e-06
I-131	3.1749e+15	3.1738e+09	6.9014e-07	2.3486e+01
I-132	9.5564e+13	8.0174e+09	2.0932e-08	8.8192e-01
I-132m	6.7101e+12	9.3148e+08	1.4698e-09	8.1039e-02
I-133	1.7340e+16	1.6051e+11	3.8268e-06	2.4076e+02
I-133m	5.1938e+12	4.0000e+11	1.1463e-09	1.5200e+00
I-134	1.3846e+16	3.0469e+12	3.0789e-06	1.6758e+02
I-134m	1.7103e+14	5.6130e+11	3.8030e-08	1.3471e+01
I-135	3.2390e+16	9.4921e+11	7.2561e-06	3.0375e+02
I-136	4.8116e+14	3.9990e+12	1.0859e-07	3.5591e+02
I-136m	1.2860e+14	1.9007e+12	2.9025e-08	9.8836e+01
I-137	1.6102e+14	4.5555e+12	3.6609e-08	1.5489e+02
I-138	2.0230e+13	2.2507e+12	4.6331e-09	0.0000e+00
I-139	3.8389e+12	1.1671e+12	8.8562e-10	0.0000e+00
I-140	2.5670e+11	2.0690e+11	5.9647e-11	0.0000e+00
I-141	3.8127e+10	6.1460e+10	8.9229e-12	0.0000e+00
I-142	1.8061e+01	5.6390e+01	4.2569e-21	0.0000e+00
Xe-128	6.2789e+05	0.0000e+00	1.3336e-16	0.0000e+00
Xe-129	2.9674e+01	0.0000e+00	6.3517e-21	0.0000e+00
Xe-130	4.3413e+06	0.0000e+00	9.3646e-16	0.0000e+00
Xe-131	3.3618e+12	0.0000e+00	7.3076e-10	0.0000e+00
Xe-131m	3.6847e+10	2.4967e+04	8.0096e-12	2.4218e-02
Xe-132	1.0155e+13	0.0000e+00	2.2242e-09	0.0000e+00
Xe-133	2.1474e+14	3.2858e+08	4.7392e-08	1.5443e+02
Xe-133m	6.2766e+12	2.2993e+07	1.3852e-09	1.0347e+01
Xe-134	4.8761e+15	0.0000e+00	1.0842e-06	0.0000e+00
Xe-134m	2.1958e+10	5.2483e+10	4.8825e-12	1.7319e-01
Xe-135	1.8836e+15	3.9680e+10	4.2196e-07	4.3647e+03
Xe-135m	4.7808e+14	3.6121e+11	1.0710e-07	2.0589e+03
Xe-136	3.4461e+16	0.0000e+00	7.7772e-06	0.0000e+00
Xe-137	3.0419e+15	9.2041e+12	6.9156e-07	2.3010e+04
Xe-138	1.1020e+16	9.0418e+12	2.5237e-06	1.8084e+05
Xe-139	4.3618e+14	7.6194e+12	1.0062e-07	8.3814e+03
Xe-140	1.0801e+14	5.5051e+12	2.5097e-08	0.0000e+00
Xe-141	4.7244e+12	1.8929e+12	1.1056e-09	0.0000e+00
Xe-142	1.1670e+12	6.5764e+11	2.7504e-10	0.0000e+00
Xe-143	1.7359e+10	4.0108e+10	4.1201e-12	0.0000e+00
Xe-144	9.7227e+07	5.8602e+07	2.3239e-14	0.0000e+00
Cs-132	3.4599e+04	4.2835e-02	7.5783e-18	1.2850e-11
Cs-133	3.2188e+11	0.0000e+00	7.1038e-11	0.0000e+00
Cs-134	6.5097e+05	6.9234e-03	1.4475e-16	1.3847e-10
Cs-134m	6.4299e+04	4.2514e+00	1.4297e-17	2.5509e-10
Cs-135	5.8375e+13	5.5747e-01	1.3077e-08	4.7943e-09
Cs-136	2.4681e+12	1.5046e+06	5.5700e-10	4.2129e-03
Cs-136m	5.9470e+04	2.1695e+03	1.3421e-17	4.9899e-10
Cs-137	3.0293e+16	2.2120e+07	6.8869e-06	8.6269e-01
Cs-138	1.6213e+16	5.6060e+12	3.7128e-06	2.4106e+02
Cs-138m	8.6045e+13	3.4159e+11	1.9705e-08	1.4347e+00
Cs-139	7.6206e+15	9.4969e+12	1.7578e-06	9.4019e+01
Cs-140	7.9536e+14	8.6546e+12	1.8479e-07	1.8175e+01
Cs-141	2.2636e+14	6.3163e+12	5.2968e-08	4.5478e+00
Cs-142	9.9855e+12	4.1101e+12	2.3533e-09	0.0000e+00
Cs-143	5.5935e+12	2.1648e+12	1.3275e-09	0.0000e+00
Cs-144	9.0718e+11	6.3260e+11	2.1682e-10	0.0000e+00
Cs-145	9.7161e+10	1.1473e+11	2.3384e-11	0.0000e+00
Cs-146	8.5977e+01	1.8565e+02	2.0836e-20	0.0000e+00
Ba-134	4.3313e+00	0.0000e+00	9.6308e-22	0.0000e+00
Ba-135	5.7944e+02	0.0000e+00	1.2980e-19	0.0000e+00
Ba-136	2.7109e+09	0.0000e+00	6.1178e-13	0.0000e+00
Ba-136m	7.4127e+04	1.6660e+05	1.6729e-17	1.2495e-05
Ba-137	3.2080e+10	0.0000e+00	7.2930e-12	0.0000e+00
Ba-137m	4.3136e+09	1.9527e+07	9.8065e-13	2.3432e-01
Ba-138	9.5797e+15	0.0000e+00	2.1937e-06	0.0000e+00
Ba-139	2.2063e+16	3.0687e+12	5.0892e-06	1.8105e+02
Ba-140	3.2898e+16	2.0696e+10	7.6431e-06	1.2003e+02
Ba-141	1.2515e+16	7.9133e+12	2.9284e-06	2.6905e+02
Ba-142	7.8374e+15	8.5417e+12	1.8470e-06	1.8792e+02
Ba-143	1.7492e+14	8.3619e+12	4.1514e-08	1.0870e+05
Ba-144	1.1029e+14	6.6475e+12	2.6358e-08	0.0000e+00
Ba-145	1.8191e+13	2.9255e+12	4.3778e-09	0.0000e+00
Ba-146	4.4326e+12	1.3840e+12	1.0741e-09	0.0000e+00
Ba-147	4.7553e+11	3.6869e+11	1.1603e-10	0.0000e+00
Ba-148	2.9669e+10	3.3603e+10	7.2884e-12	0.0000e+00
La-137	1.1123e+02	4.0719e-11	2.5287e-20	3.5425e-19
La-138	8.4345e+08	1.8163e-10	1.9315e-13	2.7244e-17
La-139	4.8637e+15	0.0000e+00	1.1219e-06	0.0000e+00
La-140	3.6105e+13	1.7256e+08	8.3880e-09	1.8982e-01
La-141	1.7928e+16	8.8060e+11	4.1950e-06	1.3209e+02
La-142	2.0057e+16	2.5434e+12	4.7265e-06	2.2637e+02
La-143	1.0397e+16	8.4581e+12	2.4673e-06	1.7762e+02
La-144	4.8719e+14	8.2768e+12	1.1643e-07	6.7870e+00
La-145	2.0857e+14	5.8294e+12	5.0192e-08	3.2645e+00
La-146	2.2739e+13	2.5138e+12	5.5100e-09	5.0275e-01
La-146m	1.6300e+13	1.1298e+12	3.9496e-09	3.5024e-01
La-147	7.8825e+12	1.3457e+12	1.9232e-09	1.2515e-01
La-148	9.8755e+11	5.4327e+11	2.4259e-10	0.0000e+00
La-149	1.8348e+11	1.2113e+11	4.5378e-11	0.0000e+00
La-150	1.9590e+10	1.5789e+10	4.8774e-12	0.0000e+00
Ce-140	2.0238e+11	0.0000e+00	4.7016e-11	0.0000e+00
Ce-141	1.2399e+15	3.0599e+08	2.9011e-07	1.1627e+00
Ce-142	4.0034e+15	0.0000e+00	9.4338e-07	0.0000e+00
Ce-143	2.1446e+16	1.2498e+11	5.0894e-06	1.0373e+02
Ce-144	2.9393e+16	8.2765e+08	7.0241e-06	4.3865e+01
Ce-145	1.5534e+15	5.9619e+12	3.7380e-07	7.1542e+01
Ce-146	5.0552e+15	4.3195e+12	1.2249e-06	4.0171e+02
Ce-147	2.3266e+14	2.8593e+12	5.6762e-08	1.6012e+01
Ce-148	1.9524e+14	2.4166e+12	4.7957e-08	2.1991e+01
Ce-149	9.0031e+12	1.1775e+12	2.2265e-09	1.6484e+00
Ce-150	3.5125e+12	6.0867e+11	8.7449e-10	0.0000e+00
Ce-151	3.8090e+11	1.5001e+11	9.5466e-11	0.0000e+00
Ce-152	6.2825e+10	3.1105e+10	1.5851e-11	0.0000e+00
Pr-140	1.0201e+04	3.4762e+01	2.3699e-18	1.6686e-10
Pr-141	3.0250e+11	0.0000e+00	7.0780e-11	0.0000e+00
Pr-142	2.0455e+05	2.0598e+00	4.8201e-17	1.1329e-09
Pr-142m	6.0826e+04	4.8130e+01	1.4334e-17	3.3691e-10
Pr-143	1.7799e+14	1.0523e+08	4.2239e-08	2.5255e-01
Pr-144	7.5623e+11	5.0557e+08	1.8072e-10	9.1003e-03
Pr-144m	5.5906e+08	8.9702e+05	1.3360e-13	6.9070e-06
Pr-145	1.8669e+16	6.0070e+11	4.4925e-06	1.0212e+02
Pr-146	6.1688e+15	2.9509e+12	1.4947e-06	2.1246e+02
Pr-147	3.7592e+15	3.2409e+12	9.1710e-07	5.8335e+01
Pr-148	4.9090e+14	2.4765e+12	1.2058e-07	2.3031e+01
Pr-148m	1.0416e+13	5.9866e+10	2.5585e-09	5.1485e-01
Pr-149	3.1857e+14	1.6285e+12	7.8781e-08	2.1170e+01
Pr-150	8.4000e+12	9.4062e+11	2.0912e-09	3.4803e-01
Pr-151	1.3955e+13	5.1177e+11	3.4973e-09	1.2283e+00
Pr-152	9.7760e+11	1.8667e+11	2.4664e-10	0.0000e+00
Pr-153	3.4427e+11	5.5755e+10	8.7429e-11	0.0000e+00
Nd-142	1.5792e+04	0.0000e+00	3.7212e-18	0.0000e+00
Nd-143	1.0497e+11	0.0000e+00	2.4910e-11	0.0000e+00
Nd-144	6.9164e+11	6.6338e-12	1.6528e-10	6.3021e-19
Nd-145	1.0155e+15	0.0000e+00	2.4436e-07	0.0000e+00
Nd-146	5.0424e+15	0.0000e+00	1.2218e-06	0.0000e+00
Nd-147	8.2446e+15	6.0240e+09	2.0114e-06	1.4457e+01
Nd-148	8.4346e+15	0.0000e+00	2.0717e-06	0.0000e+00
Nd-149	4.6054e+15	5.1315e+11	1.1389e-06	4.5671e+01
Nd-150	3.5554e+15	9.8852e-12	8.8512e-07	8.3036e-20
Nd-151	6.5698e+14	6.1010e+11	1.6465e-07	1.0372e+01
Nd-152	3.8513e+14	3.9028e+11	9.7158e-08	3.3954e+00
Nd-153	1.0220e+13	2.2418e+11	2.5954e-09	1.1658e-01
Nd-154	3.2889e+12	8.8020e+10	8.4067e-10	5.4572e-02
Nd-155	3.4191e+11	2.6628e+10	8.7963e-11	0.0000e+00
Pm-146	1.4894e+06	5.9158e-03	3.6088e-16	1.2423e-10
Pm-147	8.4952e+12	7.1126e+04	2.0725e-09	3.5563e-04
Pm-148	8.0462e+07	1.2025e+02	1.9763e-14	2.6455e-07
Pm-148m	7.0430e+07	1.3684e+01	1.7299e-14	7.8001e-08
Pm-149	9.2578e+14	3.3581e+09	2.2893e-07	2.4514e+00
Pm-150	1.5180e+11	1.0906e+07	3.7790e-11	1.4178e-03
Pm-151	1.5918e+15	1.0792e+10	3.9891e-07	4.9641e+00
Pm-152	1.3709e+14	3.8439e+11	3.4584e-08	1.7298e+00
Pm-152m	1.8129e+09	2.7850e+06	4.5735e-13	3.3420e-05
Pm-152m2	1.7753e+07	1.4861e+04	4.4786e-15	4.1612e-07
Pm-153	1.0184e+14	2.2410e+11	2.5861e-08	8.5158e-01
Pm-154	1.3181e+13	8.8020e+10	3.3691e-09	2.6406e-01
Pm-154m	2.0311e+02	8.7552e-01	5.1915e-20	4.3776e-12
Pm-155	2.7521e+12	4.5967e+10	7.0802e-10	5.5160e-02
Sm-146	1.1162e+01	2.3803e-15	2.7045e-21	2.6183e-20
Sm-147	7.0185e+07	1.4543e-11	1.7122e-14	1.3961e-16
Sm-148	7.2713e+05	2.2816e-18	1.7860e-16	1.9394e-23
Sm-149	3.9363e+12	0.0000e+00	9.7337e-10	0.0000e+00
Sm-150	2.3580e+10	0.0000e+00	5.8701e-12	0.0000e+00
Sm-151	1.5596e+13	3.8063e+03	3.9086e-09	1.5225e-05
Sm-152	9.1953e+14	0.0000e+00	2.3197e-07	0.0000e+00
Sm-153	6.9020e+14	2.8579e+09	1.7526e-07	1.8005e+00
Sm-154	3.0048e+14	0.0000e+00	7.6802e-08	0.0000e+00
Sm-155	7.4498e+13	3.8594e+10	1.9165e-08	6.5609e-01
Sm-156	6.8798e+00	1.4092e-04	1.7813e-21	3.1002e-14
Eu-151	3.8325e+06	0.0000e+00	9.6044e-16	0.0000e+00
Eu-152	1.7874e+03	2.9001e-06	4.5090e-19	1.2180e-13
Eu-152m	9.2337e+02	1.9093e-02	2.3294e-19	4.2004e-12
Eu-153	4.5330e+12	0.0000e+00	1.1511e-09	0.0000e+00
Eu-154	1.4398e+08	3.6769e-01	3.6802e-14	1.9488e-08
Eu-154m	1.9282e+06	4.8425e+02	4.9284e-16	9.6849e-10
Eu-155	8.7864e+13	4.0604e+05	2.2603e-08	2.8016e-03
Eu-156	4.4092e+10	2.3287e+04	1.1416e-11	7.9176e-05
Eu-157	2.2024e+05	2.7935e+00	5.7390e-17	7.8218e-10
Gd-152	8.8479e+00	1.7994e-21	2.2320e-21	3.4189e-26
Gd-154	3.9054e+02	0.0000e+00	9.9818e-20	0.0000e+00
Gd-155	5.3861e+08	0.0000e+00	1.3856e-13	0.0000e+00
Gd-156	2.5320e+07	0.0000e+00	6.5556e-15	0.0000e+00
Gd-157	2.0540e+03	0.0000e+00	5.3523e-19	0.0000e+00
Ra-229	1.9309e+00	5.5768e-03	7.3438e-22	3.4576e-10
Ac-229	7.5617e+00	1.3932e-03	2.8759e-21	1.0171e-10
Th-229	9.5726e+03	2.8645e-08	3.6406e-18	6.8749e-12
Th-230	1.3329e+05	3.8839e-08	5.0914e-17	3.8839e-12
Th-231	2.8413e+08	2.1437e+03	1.0900e-13	7.0741e-07
Th-232	4.8316e+11	7.5533e-07	1.8617e-10	8.3086e-11
Th-233	3.3354e+06	1.7279e+03	1.2907e-15	3.1103e-07
Th-234	3.4358e+00	1.1437e-06	1.3353e-21	8.8067e-15
Pa-231	3.8763e+06	2.5989e-06	1.4871e-15	3.6385e-10
Pa-232	5.2105e+03	3.1668e-02	2.0076e-18	3.1668e-10
Pa-233	2.0287e+10	6.0335e+03	7.8505e-12	2.3530e-05
Pa-234	6.9958e+04	2.0104e+00	2.7188e-17	8.0417e-10
Pa-234m	4.1279e+03	4.1145e+01	1.6043e-18	6.5832e-09
Pa-235	6.4555e+04	3.0514e+01	2.5196e-17	5.7977e-08
U-231	7.4868e+02	1.4301e-03	2.8723e-19	5.7203e-13
U-232	1.1224e+06	3.5781e-04	4.3247e-16	1.3239e-08
U-233	3.8537e+13	5.3169e+00	1.4913e-08	5.1042e-05
U-234	4.6440e+14	4.1550e+01	1.8048e-07	3.9057e-04
U-235	2.5615e+21	7.9941e+04	9.9975e-01	6.7950e-01
U-235m	2.6187e+09	1.1636e+06	1.0221e-12	5.0033e-08
U-236	9.1409e+16	8.5728e+01	3.5829e-05	7.4584e-04
U-237	8.9982e+10	1.0695e+05	3.5419e-11	2.0320e-04
U-238	4.8926e+06	2.4052e-11	1.9340e-15	1.9242e-16
Np-237	1.2838e+08	1.3152e-06	5.0535e-14	6.5762e-11
Np-238	1.8668e+03	7.0744e-03	7.3794e-19	2.4761e-11
Pu-238	5.0967e+00	1.2765e-09	2.0147e-21	1.4041e-13
-----------------------------------------------------------------------------------------
ORILL V.1.0 - Copyright 2017-2018 - Franck Chanteloup @ Institue Laue-Langevin - Job done.
