Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  340791   Se-79m    1.436e+14    4.231e+11    1.882e-08    1.100e+00
  340800    Se-80    6.235e+15    0.000e+00    8.275e-07    0.000e+00
  340810    Se-81    4.318e+15    2.704e+12    5.803e-07    4.056e+01
  340811   Se-81m    2.821e+14    5.690e+10    3.791e-08    2.902e+00
  340820    Se-82    1.740e+16    0.000e+00    2.367e-06    0.000e+00
  340830    Se-83    1.202e+16    6.229e+12    1.656e-06    2.118e+02
  340831   Se-83m    5.155e+13    5.098e+11    7.098e-09    1.682e+04
  340840    Se-84    3.514e+15    1.245e+13    4.897e-07    4.608e+05
  340850    Se-85    3.500e+14    7.652e+12    4.935e-08    2.831e+05
  340860    Se-86    2.724e+14    1.320e+13    3.886e-08    0.000e+00
  340870    Se-87    9.162e+13    1.155e+13    1.323e-08    0.000e+00
  340880    Se-88    8.991e+12    4.073e+12    1.313e-09    0.000e+00
  340890    Se-89    4.385e+11    7.413e+11    6.475e-11    0.000e+00
  340900    Se-90    1.331e+08    5.729e+08    1.987e-14    0.000e+00
  350780    Br-78    2.044e+04    3.661e+01    2.645e-18    5.491e-07
  350790    Br-79    5.921e+11    0.000e+00    7.760e-11    0.000e+00
  350800    Br-80    2.248e+08    1.469e+05    2.984e-14    1.381e-06
  350801   Br-80m    5.660e+08    2.465e+04    7.511e-14    1.874e-06
  350810    Br-81    6.402e+15    0.000e+00    8.602e-07    0.000e+00
  350820    Br-82    1.716e+09    9.366e+03    2.335e-13    5.901e-06
  350821   Br-82m    6.835e+08    1.288e+06    9.297e-14    6.955e-04
  350830    Br-83    1.454e+16    1.167e+12    2.002e-06    5.601e+01
  350840    Br-84    2.450e+16    8.913e+12    3.414e-06    3.298e+02
  350841   Br-84m    1.352e+14    2.603e+11    1.884e-08    6.507e+03
  350850    Br-85    2.821e+15    1.124e+13    3.977e-07    5.618e+04
  350860    Br-86    1.327e+15    1.673e+13    1.894e-07    9.032e+04
  350870    Br-87    2.478e+15    3.086e+13    3.576e-07    3.704e+03
  350880    Br-88    5.922e+14    2.520e+13    8.647e-08    7.056e+04
  350890    Br-89    1.047e+14    1.649e+13    1.545e-08    0.000e+00
  350900    Br-90    2.326e+13    8.399e+12    3.474e-09    0.000e+00
  350910    Br-91    2.646e+12    3.390e+12    3.996e-10    0.000e+00
  350920    Br-92    2.012e+11    4.066e+11    3.072e-11    0.000e+00
  350930    Br-93    7.073e+01    4.807e+02    1.092e-20    0.000e+00
  360790    Kr-79    7.692e+00    4.226e-05    1.008e-21    8.875e-12
  360800    Kr-80    1.428e+08    0.000e+00    1.895e-14    0.000e+00
  360810    Kr-81    1.400e+02    1.343e-11    1.882e-20    2.955e-17
  360811   Kr-81m    1.269e+00    6.713e-02    1.705e-22    1.007e-12
  360820    Kr-82    6.079e+07    0.000e+00    8.268e-15    0.000e+00
  360830    Kr-83    1.659e+14    0.000e+00    2.285e-08    0.000e+00
  360831   Kr-83m    1.519e+15    1.598e+11    2.091e-07    2.557e+02
  360840    Kr-84    1.863e+16    0.000e+00    2.595e-06    0.000e+00
  360850    Kr-85    6.054e+14    1.236e+06    8.536e-08    4.698e+01
  360851   Kr-85m    3.468e+16    1.490e+12    4.889e-06    5.812e+04
  360860    Kr-86    6.623e+16    0.000e+00    9.448e-06    0.000e+00
  360870    Kr-87    1.061e+17    1.607e+13    1.531e-05    8.997e+05
  360880    Kr-88    1.659e+17    1.125e+13    2.423e-05    2.250e+06
  360890    Kr-89    1.867e+16    6.846e+13    2.756e-06    3.286e+05
  360900    Kr-90    3.401e+15    7.294e+13    5.078e-07    9.482e+04
  360910    Kr-91    6.340e+14    5.128e+13    9.572e-08    0.000e+00
  360920    Kr-92    6.762e+13    2.547e+13    1.032e-08    0.000e+00
  360930    Kr-93    1.366e+13    7.363e+12    2.108e-09    0.000e+00
  360940    Kr-94    4.028e+11    1.317e+12    6.283e-11    0.000e+00
  360950    Kr-95    2.335e+08    1.420e+09    3.681e-14    0.000e+00
  370830    Rb-83    3.965e+01    3.690e-06    5.459e-21    2.546e-15
  370840    Rb-84    1.721e+08    4.207e+01    2.398e-14    4.207e-08
  370841   Rb-84m    6.533e+07    3.725e+04    9.104e-15    2.980e-07
  370850    Rb-85    2.001e+15    0.000e+00    2.821e-07    0.000e+00
  370860    Rb-86    4.334e+09    1.866e+03    6.182e-13    1.735e-06
  370861   Rb-86m    1.258e+08    1.429e+06    1.794e-14    7.000e-07
  370870    Rb-87    3.093e+16    1.412e-02    4.464e-06    7.062e-12
  370880    Rb-88    1.138e+16    7.398e+12    1.661e-06    1.184e+02
  370890    Rb-89    8.634e+16    6.584e+13    1.275e-05    9.217e+02
  370900    Rb-90    1.506e+16    6.609e+13    2.249e-06    5.882e+02
  370901   Rb-90m    7.540e+15    2.026e+13    1.126e-06    3.646e+02
  370910    Rb-91    7.169e+15    8.509e+13    1.082e-06    2.978e+02
  370920    Rb-92    4.741e+14    7.315e+13    7.236e-08    2.341e+01
  370930    Rb-93    4.530e+14    5.377e+13    6.990e-08    3.334e+01
  370940    Rb-94    9.780e+13    2.509e+13    1.525e-08    7.527e+00
  370950    Rb-95    6.315e+12    1.159e+13    9.955e-10    0.000e+00
  370960    Rb-96    7.494e+11    2.559e+12    1.194e-10    0.000e+00
  370970    Rb-97    1.406e+11    5.762e+11    2.263e-11    0.000e+00
  370980    Rb-98    3.586e+03    2.181e+04    5.833e-19    0.000e+00
  380840    Sr-84    1.348e+03    0.000e+00    1.879e-19    0.000e+00
  380860    Sr-86    1.675e+06    0.000e+00    2.389e-16    0.000e+00
  380870    Sr-87    7.438e+08    0.000e+00    1.073e-13    0.000e+00
  380871   Sr-87m    2.044e+08    1.398e+04    2.950e-14    2.936e-07
  380880    Sr-88    1.088e+16    0.000e+00    1.588e-06    0.000e+00
  380890    Sr-89    1.526e+17    2.423e+10    2.253e-05    1.914e+02
  380900    Sr-90    2.870e+17    2.189e+08    4.285e-05    3.503e+01
  380910    Sr-91    3.017e+17    6.031e+12    4.554e-05    2.473e+03
  380920    Sr-92    2.863e+17    2.034e+13    4.369e-05    4.678e+03
  380930    Sr-93    6.060e+16    9.431e+13    9.350e-06    4.621e+03
  380940    Sr-94    9.982e+15    9.188e+13    1.557e-06    5.421e+02
  380950    Sr-95    2.749e+15    7.972e+13    4.332e-07    2.392e+02
  380960    Sr-96    8.718e+13    5.648e+13    1.389e-08    1.299e+01
  380970    Sr-97    1.642e+13    2.653e+13    2.643e-09    0.000e+00
  380980    Sr-98    1.154e+13    1.225e+13    1.877e-09    0.000e+00
  380990    Sr-99    7.874e+11    2.021e+12    1.294e-10    0.000e+00
  381000   Sr-100    5.078e+08    1.742e+09    8.426e-14    0.000e+00
  390880     Y-88    2.532e+06    1.905e-01    3.696e-16    8.382e-10
  390890     Y-89    3.196e+13    0.000e+00    4.719e-09    0.000e+00
  390891    Y-89m    5.227e+07    2.313e+06    7.717e-15    1.897e-04
  390900     Y-90    3.633e+11    1.093e+06    5.424e-11    1.640e-03
  390901    Y-90m    3.108e+08    1.876e+04    4.640e-14    1.876e-06
  390910     Y-91    5.838e+15    8.005e+08    8.813e-07    7.124e+00
  390911    Y-91m    4.884e+15    1.135e+12    7.372e-07    1.248e+01
  390920     Y-92    3.923e+16    2.134e+12    5.987e-06    3.840e+02
  390930     Y-93    2.775e+17    5.248e+12    4.281e-05    2.204e+03
  390931    Y-93m    3.901e+13    3.298e+13    6.019e-09    1.187e+02
  390940     Y-94    1.401e+17    8.654e+13    2.185e-05    2.423e+03
  390950     Y-95    8.452e+16    9.480e+13    1.332e-05    1.517e+03
