Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  451100   Rh-110    4.542e+00    9.837e-01    8.289e-22    2.853e-12
  451101  Rh-110m    3.928e+10    9.554e+08    7.169e-12    2.197e-04
  451110   Rh-111    7.136e+02    4.497e+01    1.314e-19    4.182e-11
  451130   Rh-113    1.366e+02    3.382e+01    2.562e-20    1.488e-11
  461020   Pd-102    5.148e+00    0.000e+00    8.711e-22    0.000e+00
  461030   Pd-103    3.623e+01    1.711e-05    6.192e-21    7.699e-15
  461040   Pd-104    3.750e+08    0.000e+00    6.470e-14    0.000e+00
  461050   Pd-105    1.251e+13    0.000e+00    2.179e-09    0.000e+00
  461060   Pd-106    2.175e+12    0.000e+00    3.824e-10    0.000e+00
  461070   Pd-107    3.831e+15    1.295e+01    6.801e-07    7.638e-09
  461071  Pd-107m    3.810e+06    1.240e+05    6.763e-16    3.348e-08
  461080   Pd-108    2.779e+15    0.000e+00    4.980e-07    0.000e+00
  461090   Pd-109    8.051e+14    1.131e+10    1.456e-07    4.186e+00
  461091  Pd-109m    1.614e+07    3.976e+04    2.919e-15    2.107e-07
  461100   Pd-110    3.386e+12    0.000e+00    6.180e-10    0.000e+00
  461110   Pd-111    1.256e+05    6.202e+01    2.314e-17    5.830e-09
  461111  Pd-111m    2.155e+04    7.543e-01    3.968e-18    3.621e-10
  461130   Pd-113    4.415e+03    3.291e+01    8.278e-19    4.278e-10
  461150   Pd-115    1.383e+03    3.834e+01    2.638e-19    2.722e-10
  461160   Pd-116    1.407e+10    8.265e+08    2.708e-12    2.893e-03
  471070   Ag-107    1.602e+04    0.000e+00    2.843e-18    0.000e+00
  471080   Ag-108    2.631e+05    1.276e+03    4.715e-17    4.849e-11
  471081  Ag-108m    1.411e+06    7.075e-05    2.528e-16    2.618e-12
  471090   Ag-109    1.897e+13    0.000e+00    3.431e-09    0.000e+00
  471091  Ag-109m    6.355e+11    1.112e+10    1.149e-10    5.673e-04
  471100   Ag-110    5.707e+06    1.608e+05    1.042e-15    6.915e-08
  471101  Ag-110m    8.978e+06    2.884e-01    1.639e-15    3.461e-09
  471110   Ag-111    7.699e+04    8.291e-02    1.418e-17    1.409e-10
  471111  Ag-111m    5.539e+03    5.925e+01    1.020e-18    1.363e-11
  471130   Ag-113    3.402e+04    1.220e+00    6.377e-18    3.049e-10
  471131  Ag-113m    3.034e+03    3.061e+01    5.688e-19    3.061e-11
  471150   Ag-115    3.825e+04    2.209e+01    7.298e-18    6.407e-10
  471160   Ag-116    2.826e+11    8.265e+08    5.439e-11    7.439e-03
  471161  Ag-116m    4.088e+00    1.417e-01    7.868e-22    6.375e-14
  481080   Cd-108    1.330e+06    0.000e+00    2.383e-16    0.000e+00
  481090   Cd-109    2.365e+01    4.113e-07    4.277e-21    3.331e-15
  481100   Cd-110    1.799e+08    0.000e+00    3.283e-14    0.000e+00
  481110   Cd-111    7.838e+02    0.000e+00    1.443e-19    0.000e+00
  481130   Cd-113    1.987e+04    5.429e-20    3.726e-18    6.515e-27
  481131  Cd-113m    2.407e+01    3.750e-08    4.513e-21    4.125e-15
  481140   Cd-114    4.754e+01    0.000e+00    8.991e-21    0.000e+00
  481150   Cd-115    3.781e+05    1.362e+00    7.215e-17    1.498e-09
  481151  Cd-115m    3.309e+05    5.958e-02    6.314e-17    4.588e-10
  481160   Cd-116    2.679e+12    1.898e-15    5.157e-10    2.847e-22
  481170   Cd-117    2.372e+04    1.834e+00    4.604e-18    3.118e-10
  481171  Cd-117m    1.218e+04    6.979e-01    2.364e-18    1.466e-10
  481200   Cd-120    3.427e+03    4.676e+01    6.823e-19    9.819e-10
  491150   In-115    1.144e+02    5.697e-21    2.183e-20    2.222e-27
  491151  In-115m    1.437e+03    6.167e-02    2.742e-19    3.639e-12
  491170   In-117    8.248e+02    2.206e-01    1.601e-19    6.396e-12
  491171  In-117m    1.749e+03    1.739e-01    3.395e-19    1.252e-11
  491200   In-120    2.075e+02    4.670e+01    4.132e-20    7.939e-11
  491230   In-123    1.774e+02    1.992e+01    3.620e-20    6.376e-11
  491231  In-123m    2.385e+00    3.488e-02    4.869e-22    7.674e-13
  491240   In-124    6.815e+00    1.514e+00    1.402e-21    4.845e-12
  491241  In-124m    1.433e+00    2.684e-01    2.948e-22    1.100e-12
  491250   In-125    1.961e+09    5.760e+08    4.068e-13    1.152e-03
  491251  In-125m    2.318e+01    1.317e+00    4.809e-21    1.317e-11
  491260   In-126    3.877e+01    1.757e+01    8.107e-21    2.986e-11
  491261  In-126m    4.068e+00    1.719e+00    8.506e-22    3.439e-12
  491270   In-127    1.631e+09    1.037e+09    3.437e-13    1.244e-03
  491290   In-129    2.298e+01    2.611e+01    4.919e-21    0.000e+00
  491310   In-131    2.379e+08    5.890e+08    5.173e-14    0.000e+00
  491320   In-132    1.322e+02    4.426e+02    2.896e-20    0.000e+00
  501150   Sn-115    2.568e+00    0.000e+00    4.900e-22    0.000e+00
  501170   Sn-117    2.682e+02    0.000e+00    5.207e-20    0.000e+00
  501200   Sn-120    8.228e+04    0.000e+00    1.638e-17    0.000e+00
  501220   Sn-122    1.778e+02    0.000e+00    3.598e-20    0.000e+00
  501230   Sn-123    1.165e+03    7.235e-05    2.378e-19    5.861e-13
  501231  Sn-123m    2.527e+04    7.287e+00    5.157e-18    1.967e-10
  501240   Sn-124    1.518e+07    0.000e+00    3.123e-15    0.000e+00
  501250   Sn-125    3.870e+11    3.221e+05    8.028e-11    9.985e-04
  501251  Sn-125m    3.812e+11    4.626e+08    7.906e-11    6.938e+02
  501260   Sn-126    2.628e+15    2.510e+02    5.494e-07    7.027e-06
  501270   Sn-127    4.219e+15    3.869e+11    8.892e-07    5.029e+01
  501271  Sn-127m    5.855e+12    1.638e+10    1.234e-09    1.965e+04
  501280   Sn-128    1.198e+16    2.344e+12    2.546e-06    2.156e+02
  501281  Sn-128m    2.176e+13    2.321e+12    4.622e-09    6.962e+04
  501290   Sn-129    6.881e+14    3.565e+12    1.473e-07    4.278e+06
  501291  Sn-129m    1.774e+15    2.971e+12    3.799e-07    1.248e+07
  501300   Sn-130    2.651e+15    8.231e+12    5.718e-07    1.976e+07
  501301  Sn-130m    1.211e+15    8.231e+12    2.613e-07    9.054e+06
  501310   Sn-131    5.399e+14    6.683e+12    1.174e-07    3.743e+06
  501311  Sn-131m    5.630e+14    6.683e+12    1.224e-07    6.081e+06
  501320   Sn-132    5.126e+14    8.950e+12    1.123e-07    0.000e+00
  501330   Sn-133    4.390e+12    2.084e+12    9.691e-10    0.000e+00
  501340   Sn-134    4.054e+11    2.676e+11    9.015e-11    0.000e+00
  501350   Sn-135    3.654e+02    4.779e+02    8.188e-20    0.000e+00
  511230   Sb-123    9.420e+03    0.000e+00    1.923e-18    0.000e+00
  511240   Sb-124    2.199e+05    2.930e-02    4.523e-17    2.520e-10
  511241  Sb-124m    1.311e+04    9.768e+01    2.697e-18    6.154e-11
  511242 Sb-124m2    5.854e+04    3.348e+01    1.204e-17    1.975e-10
  511250   Sb-125    1.304e+12    1.039e+04    2.705e-10    1.246e-04
  511260   Sb-126    4.944e+07    3.212e+01    1.034e-14    1.028e-07
  511261  Sb-126m    7.771e+07    4.688e+04    1.625e-14    9.375e-07
  511262 Sb-126m2    7.078e+05    4.460e+04    1.480e-16    8.475e-09
  511270   Sb-127    7.857e+14    1.637e+09    1.656e-07    3.111e+00
  511280   Sb-128    1.082e+14    2.311e+09    2.297e-08    9.708e-01
  511281  Sb-128m    1.685e+15    1.871e+12    3.578e-07    2.807e+01
  511290   Sb-129    2.288e+16    1.001e+12    4.897e-06    2.503e+02
  511291  Sb-129m    7.380e+14    4.817e+11    1.580e-07    1.397e+01
  511300   Sb-130    2.280e+16    6.668e+12    4.918e-06    3.534e+02
  511301  Sb-130m    8.057e+15    1.477e+13    1.738e-06    1.921e+02
  511310   Sb-131    6.389e+16    3.205e+13    1.389e-05    1.410e+03
  511320   Sb-132    6.935e+15    2.872e+13    1.519e-06    1.809e+02
  511321  Sb-132m    4.658e+15    1.313e+13    1.020e-06    1.181e+02
  511330   Sb-133    7.852e+15    3.628e+13    1.733e-06    1.560e+02
  511340   Sb-134    6.351e+12    5.644e+12    1.412e-09    0.000e+00
  511341  Sb-134m    7.877e+13    5.422e+12    1.752e-08    0.000e+00
  511350   Sb-135    5.332e+12    2.201e+12    1.195e-09    0.000e+00
  511360   Sb-136    2.315e+11    1.739e+11    5.226e-11    0.000e+00
  511370   Sb-137    3.610e+08    5.561e+08    8.209e-14    0.000e+00
  521240   Te-124    3.262e+04    0.000e+00    6.712e-18    0.000e+00
  521250   Te-125    1.198e+07    0.000e+00    2.485e-15    0.000e+00
  521251  Te-125m    3.596e+06    5.026e-01    7.459e-16    2.111e-09
  521260   Te-126    4.158e+07    0.000e+00    8.694e-15    0.000e+00
  521270   Te-127    1.691e+12    3.482e+07    3.563e-10    4.875e-03
  521271  Te-127m    3.403e+11    2.505e+04    7.171e-11    2.455e-04
  521280   Te-128    2.913e+15    7.270e-12    6.186e-07    2.835e-17
  521290   Te-129    1.212e+15    2.012e+11    2.595e-07    7.848e+00
  521291  Te-129m    1.210e+15    2.888e+08    2.589e-07    2.282e+00
  521300   Te-130    5.609e+16    0.000e+00    1.210e-05    0.000e+00
  521310   Te-131    4.263e+16    1.970e+13    9.267e-06    5.516e+02
  521311  Te-131m    1.737e+16    1.006e+11    3.776e-06    9.456e+01
  521320   Te-132    2.215e+17    5.545e+11    4.851e-05    1.109e+03
  521330   Te-133    5.306e+16    4.904e+13    1.171e-05    9.807e+02
  521331  Te-133m    1.299e+17    2.709e+13    2.867e-05    2.356e+03
  521340   Te-134    2.406e+17    6.651e+13    5.351e-05    4.523e+03
  521350   Te-135    1.384e+15    5.049e+13    3.101e-07    2.929e+04
  521360   Te-136    5.057e+14    2.003e+13    1.141e-07    0.000e+00
  521370   Te-137    2.131e+13    5.933e+12    4.846e-09    0.000e+00
  521380   Te-138    2.027e+12    1.003e+12    4.642e-10    0.000e+00
  521390   Te-139    7.252e+03    1.449e+04    1.673e-18    0.000e+00
  531260    I-126    3.938e+03    2.443e-03    8.232e-19    2.394e-11
  531270    I-127    3.256e+10    0.000e+00    6.862e-12    0.000e+00
  531280    I-128    1.992e+07    9.210e+03    4.231e-15    1.842e-07
  531290    I-129    2.396e+14    3.352e-01    5.129e-08    1.207e-08
  531300    I-130    5.517e+09    8.594e+04    1.190e-12    5.758e-05
  531301   I-130m    7.335e+08    9.585e+05    1.582e-13    4.601e-05
  531310    I-131    3.175e+16    3.174e+10    6.902e-06    2.349e+02
  531320    I-132    9.558e+14    8.019e+10    2.094e-07    8.821e+00
  531321   I-132m    6.711e+13    9.316e+09    1.470e-08    8.105e-01
  531330    I-133    1.734e+17    1.605e+12    3.828e-05    2.408e+03
  531331   I-133m    5.195e+13    4.001e+12    1.146e-08    1.520e+01
  531340    I-134    1.385e+17    3.047e+13    3.079e-05    1.676e+03
  531341   I-134m    1.710e+15    5.614e+12    3.803e-07    1.347e+02
  531350    I-135    3.242e+17    9.501e+12    7.263e-05    3.040e+03
  531360    I-136    4.812e+15    4.000e+13    1.086e-06    3.560e+03
  531361   I-136m    1.286e+15    1.901e+13    2.903e-07    9.885e+02
  531370    I-137    1.610e+15    4.556e+13    3.661e-07    1.549e+03
  531380    I-138    2.023e+14    2.251e+13    4.634e-08    0.000e+00
  531390    I-139    3.839e+13    1.167e+13    8.857e-09    0.000e+00
  531400    I-140    2.567e+12    2.069e+12    5.965e-10    0.000e+00
  531410    I-141    3.813e+11    6.146e+11    8.923e-11    0.000e+00
  531420    I-142    1.805e+02    5.635e+02    4.254e-20    0.000e+00
  541280   Xe-128    6.287e+06    0.000e+00    1.335e-15    0.000e+00
  541290   Xe-129    3.081e+02    0.000e+00    6.596e-20    0.000e+00
  541291  Xe-129m    1.414e+01    1.277e-05    3.026e-21    1.277e-11
  541300   Xe-130    2.079e+08    0.000e+00    4.485e-14    0.000e+00
  541310   Xe-131    3.362e+13    0.000e+00    7.309e-09    0.000e+00
  541311  Xe-131m    3.685e+11    2.497e+05    8.011e-11    2.422e-01
  541320   Xe-132    1.016e+14    0.000e+00    2.225e-08    0.000e+00
  541330   Xe-133    2.148e+15    3.287e+09    4.740e-07    1.545e+03
  541331  Xe-133m    6.278e+13    2.300e+08    1.386e-08    1.035e+02
  541340   Xe-134    4.877e+16    0.000e+00    1.084e-05    0.000e+00
  541341  Xe-134m    2.196e+11    5.249e+11    4.883e-11    1.732e+00
  541350   Xe-135    1.885e+16    3.971e+11    4.222e-06    4.368e+04
  541351  Xe-135m    4.783e+15    3.613e+12    1.071e-06    2.060e+04
  541360   Xe-136    3.447e+17    0.000e+00    7.778e-05    0.000e+00
  541370   Xe-137    3.042e+16    9.205e+13    6.916e-06    2.301e+05
  541380   Xe-138    1.102e+17    9.043e+13    2.524e-05    1.809e+06
  541390   Xe-139    4.362e+15    7.620e+13    1.006e-06    8.382e+04
  541400   Xe-140    1.080e+15    5.506e+13    2.510e-07    0.000e+00
  541410   Xe-141    4.725e+13    1.893e+13    1.106e-08    0.000e+00
  541420   Xe-142    1.167e+13    6.578e+12    2.751e-09    0.000e+00
  541430   Xe-143    1.736e+11    4.011e+11    4.121e-11    0.000e+00
  541440   Xe-144    9.723e+08    5.860e+08    2.324e-13    0.000e+00
  551320   Cs-132    3.464e+05    4.288e-01    7.587e-17    1.287e-10
  551330   Cs-133    3.220e+12    0.000e+00    7.105e-10    0.000e+00
  551340   Cs-134    8.987e+07    9.558e-01    1.998e-14    1.912e-08
  551341  Cs-134m    2.728e+07    1.804e+03    6.067e-15    1.082e-07
  551350   Cs-135    6.081e+14    5.807e+00    1.362e-07    4.994e-08
  551351  Cs-135m    7.859e+05    1.713e+02    1.761e-16    2.741e-09
  551360   Cs-136    2.476e+13    1.509e+07    5.587e-09    4.226e-02
  551361  Cs-136m    4.021e+08    1.467e+07    9.075e-14    3.374e-06
  551370   Cs-137    3.030e+17    2.212e+08    6.888e-05    8.628e+00
  551380   Cs-138    1.621e+17    5.607e+13    3.713e-05    2.411e+03
  551381  Cs-138m    8.605e+14    3.416e+12    1.971e-07    1.435e+01
  551390   Cs-139    7.622e+16    9.498e+13    1.758e-05    9.403e+02
  551400   Cs-140    7.955e+15    8.657e+13    1.848e-06    1.818e+02
  551410   Cs-141    2.264e+15    6.319e+13    5.299e-07    4.549e+01
  551420   Cs-142    9.987e+13    4.111e+13    2.354e-08    0.000e+00
  551430   Cs-143    5.594e+13    2.165e+13    1.328e-08    0.000e+00
  551440   Cs-144    9.073e+12    6.327e+12    2.168e-09    0.000e+00
  551450   Cs-145    9.718e+11    1.148e+12    2.339e-10    0.000e+00
  551460   Cs-146    5.496e+03    1.187e+04    1.332e-18    0.000e+00
  561320   Ba-132    5.021e+00    0.000e+00    1.100e-21    0.000e+00
  561340   Ba-134    7.628e+02    0.000e+00    1.696e-19    0.000e+00
  561350   Ba-135    9.132e+03    0.000e+00    2.046e-18    0.000e+00
  561351  Ba-135m    4.465e+03    2.995e-02    1.000e-18    1.078e-11
  561360   Ba-136    3.911e+10    0.000e+00    8.826e-12    0.000e+00
  561361  Ba-136m    7.435e+05    1.671e+06    1.678e-16    1.253e-04
  561370   Ba-137    3.367e+11    0.000e+00    7.654e-11    0.000e+00
  561371  Ba-137m    4.472e+10    2.025e+08    1.017e-11    2.429e+00
  561380   Ba-138    9.581e+16    0.000e+00    2.194e-05    0.000e+00
  561390   Ba-139    2.207e+17    3.069e+13    5.090e-05    1.811e+03
  561400   Ba-140    3.291e+17    2.071e+11    7.647e-05    1.201e+03
  561410   Ba-141    1.252e+17    7.919e+13    2.930e-05    2.692e+03
  561420   Ba-142    7.839e+16    8.543e+13    1.847e-05    1.879e+03
  561430   Ba-143    1.749e+15    8.363e+13    4.152e-07    1.087e+06
  561440   Ba-144    1.103e+15    6.648e+13    2.636e-07    0.000e+00
  561450   Ba-145    1.819e+14    2.926e+13    4.378e-08    0.000e+00
  561460   Ba-146    4.433e+13    1.384e+13    1.074e-08    0.000e+00
  561470   Ba-147    4.756e+12    3.687e+12    1.160e-09    0.000e+00
  561480   Ba-148    2.968e+11    3.361e+11    7.290e-11    0.000e+00
  571370   La-137    7.391e+03    2.705e-09    1.680e-18    2.354e-17
  571380   La-138    8.444e+09    1.818e-09    1.934e-12    2.727e-16
  571390   La-139    4.864e+16    0.000e+00    1.122e-05    0.000e+00
  571400   La-140    3.612e+14    1.726e+09    8.392e-08    1.899e+00
  571410   La-141    1.794e+17    8.812e+12    4.198e-05    1.322e+03
  571420   La-142    2.006e+17    2.544e+13    4.727e-05    2.264e+03
  571430   La-143    1.040e+17    8.459e+13    2.468e-05    1.776e+03
  571440   La-144    4.872e+15    8.278e+13    1.164e-06    6.788e+01
  571450   La-145    2.086e+15    5.830e+13    5.020e-07    3.265e+01
  571460   La-146    2.274e+14    2.514e+13    5.511e-08    5.029e+00
  571461  La-146m    1.630e+14    1.130e+13    3.950e-08    3.503e+00
  571470   La-147    7.885e+13    1.346e+13    1.924e-08    1.252e+00
  571480   La-148    9.877e+12    5.434e+12    2.426e-09    0.000e+00
  571490   La-149    1.835e+12    1.212e+12    4.539e-10    0.000e+00
  571500   La-150    1.959e+11    1.579e+11    4.879e-11    0.000e+00
  581390   Ce-139    3.031e+05    1.767e-02    6.991e-17    3.357e-11
  581391  Ce-139m    1.178e+04    1.490e+02    2.717e-18    2.533e-10
  581400   Ce-140    2.025e+12    0.000e+00    4.704e-10    0.000e+00
  581410   Ce-141    1.241e+16    3.062e+09    2.903e-06    1.164e+01
  581420   Ce-142    4.004e+16    0.000e+00    9.435e-06    0.000e+00
  581430   Ce-143    2.145e+17    1.250e+12    5.090e-05    1.037e+03
  581440   Ce-144    2.940e+17    8.278e+09    7.025e-05    4.387e+02
  581450   Ce-145    1.554e+16    5.963e+13    3.739e-06    7.155e+02
  581460   Ce-146    5.057e+16    4.321e+13    1.225e-05    4.018e+03
  581470   Ce-147    2.328e+15    2.861e+13    5.679e-07    1.602e+02
  581480   Ce-148    1.953e+15    2.417e+13    4.796e-07    2.199e+02
  581490   Ce-149    9.004e+13    1.178e+13    2.227e-08    1.649e+01
  581500   Ce-150    3.513e+13    6.088e+12    8.746e-09    0.000e+00
  581510   Ce-151    3.810e+12    1.500e+12    9.548e-10    0.000e+00
  581520   Ce-152    6.284e+11    3.111e+11    1.585e-10    0.000e+00
  591400   Pr-140    1.021e+05    3.481e+02    2.373e-17    1.671e-09
  591410   Pr-141    3.027e+12    0.000e+00    7.083e-10    0.000e+00
  591420   Pr-142    1.602e+08    1.613e+03    3.775e-14    8.872e-07
  591421  Pr-142m    1.696e+08    1.342e+05    3.997e-14    9.395e-07
  591430   Pr-143    1.780e+15    1.052e+09    4.224e-07    2.526e+00
  591440   Pr-144    7.619e+12    5.093e+09    1.821e-09    9.168e-02
  591441  Pr-144m    4.618e+10    7.409e+07    1.104e-11    5.705e-04
  591450   Pr-145    1.867e+17    6.008e+12    4.493e-05    1.021e+03
  591460   Pr-146    6.171e+16    2.952e+13    1.495e-05    2.125e+03
  591470   Pr-147    3.761e+16    3.242e+13    9.175e-06    5.836e+02
  591480   Pr-148    4.910e+15    2.477e+13    1.206e-06    2.303e+02
  591481  Pr-148m    1.042e+14    5.987e+11    2.559e-08    5.149e+00
  591490   Pr-149    3.186e+15    1.629e+13    7.879e-07    2.117e+02
  591500   Pr-150    8.401e+13    9.407e+12    2.092e-08    3.481e+00
  591510   Pr-151    1.396e+14    5.118e+12    3.498e-08    1.228e+01
  591520   Pr-152    9.778e+12    1.867e+12    2.467e-09    0.000e+00
  591530   Pr-153    3.443e+12    5.577e+11    8.745e-10    0.000e+00
  601420   Nd-142    1.272e+06    0.000e+00    2.998e-16    0.000e+00
  601430   Nd-143    1.050e+12    0.000e+00    2.491e-10    0.000e+00
  601440   Nd-144    6.961e+12    6.677e-11    1.663e-09    6.343e-18
  601450   Nd-145    1.016e+16    0.000e+00    2.444e-06    0.000e+00
  601460   Nd-146    5.044e+16    0.000e+00    1.222e-05    0.000e+00
  601470   Nd-147    8.248e+16    6.026e+10    2.012e-05    1.446e+02
  601480   Nd-148    8.436e+16    0.000e+00    2.072e-05    0.000e+00
  601490   Nd-149    4.606e+16    5.132e+12    1.139e-05    4.568e+02
  601500   Nd-150    3.556e+16    9.887e-11    8.852e-06    8.305e-19
  601510   Nd-151    6.571e+15    6.102e+12    1.647e-06    1.037e+02
  601520   Nd-152    3.852e+15    3.903e+12    9.717e-07    3.396e+01
  601530   Nd-153    1.022e+14    2.242e+12    2.596e-08    1.166e+00
  601540   Nd-154    3.289e+13    8.803e+11    8.408e-09    5.458e-01
  601550   Nd-155    3.420e+12    2.663e+11    8.798e-10    0.000e+00
  611450   Pm-145    1.011e+02    1.255e-07    2.434e-20    4.518e-16
  611460   Pm-146    1.494e+07    5.935e-02    3.621e-15    1.246e-09
  611470   Pm-147    8.499e+13    7.115e+05    2.073e-08    3.558e-03
  611480   Pm-148    2.114e+09    3.159e+03    5.192e-13    6.950e-06
  611481  Pm-148m    1.311e+09    2.547e+02    3.220e-13    1.452e-06
  611490   Pm-149    9.259e+15    3.359e+10    2.290e-06    2.452e+01
  611500   Pm-150    1.518e+12    1.091e+08    3.779e-10    1.418e-02
  611510   Pm-151    1.592e+16    1.079e+11    3.990e-06    4.965e+01
  611520   Pm-152    1.371e+15    3.844e+12    3.459e-07    1.730e+01
  611521  Pm-152m    1.812e+10    2.784e+07    4.572e-12    3.341e-04
  611522 Pm-152m2    1.767e+08    1.479e+05    4.458e-14    4.142e-06
  611530   Pm-153    1.019e+15    2.241e+12    2.586e-07    8.517e+00
  611540   Pm-154    1.318e+14    8.803e+11    3.370e-08    2.641e+00
  611541  Pm-154m    1.458e+04    6.286e+01    3.728e-18    3.143e-10
  611550   Pm-155    2.753e+13    4.597e+11    7.081e-09    5.517e-01
  611560   Pm-156    2.336e+00    6.065e-02    6.049e-22    7.278e-14
  621460   Sm-146    1.121e+02    2.390e-14    2.715e-20    2.629e-19
  621470   Sm-147    7.021e+08    1.455e-10    1.713e-13    1.397e-15
  621480   Sm-148    9.120e+06    2.862e-17    2.240e-15    2.433e-22
  621490   Sm-149    3.937e+13    0.000e+00    9.735e-09    0.000e+00
  621500   Sm-150    2.358e+11    0.000e+00    5.871e-11    0.000e+00
  621510   Sm-151    1.560e+14    3.807e+04    3.909e-08    1.523e-04
  621520   Sm-152    9.197e+15    0.000e+00    2.320e-06    0.000e+00
  621530   Sm-153    6.903e+15    2.858e+10    1.753e-06    1.801e+01
  621540   Sm-154    3.005e+15    0.000e+00    7.681e-07    0.000e+00
  621550   Sm-155    7.451e+14    3.860e+11    1.917e-07    6.562e+00
  621560   Sm-156    1.674e+02    3.429e-03    4.335e-20    7.544e-13
  631500   Eu-150    3.317e+00    1.974e-09    8.257e-22    1.046e-16
  631501  Eu-150m    1.570e+00    2.361e-05    3.908e-22    4.486e-15
  631510   Eu-151    3.833e+07    0.000e+00    9.606e-15    0.000e+00
  631520   Eu-152    7.205e+06    1.169e-02    1.818e-15    4.910e-10
  631521  Eu-152m    1.466e+06    3.031e+01    3.698e-16    6.668e-09
  631522 Eu-152m2    3.649e+05    4.391e+01    9.204e-17    2.722e-09
  631530   Eu-153    4.534e+13    0.000e+00    1.151e-08    0.000e+00
  631540   Eu-154    1.615e+09    4.124e+00    4.127e-13    2.186e-07
  631541  Eu-154m    6.998e+07    1.758e+04    1.789e-14    3.515e-08
  631550   Eu-155    8.788e+14    4.061e+06    2.261e-07    2.802e-02
  631560   Eu-156    4.410e+11    2.329e+05    1.142e-10    7.919e-04
  631570   Eu-157    2.200e+06    2.790e+01    5.732e-16    7.812e-09
  631580   Eu-158    4.944e+00    1.244e-03    1.297e-21    5.848e-14
  641520   Gd-152    1.802e+04    3.665e-18    4.546e-18    6.963e-23
  641530   Gd-153    1.253e+00    4.180e-08    3.181e-22    8.778e-17
  641540   Gd-154    4.330e+03    0.000e+00    1.107e-18    0.000e+00
  641550   Gd-155    5.387e+09    0.000e+00    1.386e-12    0.000e+00
  641560   Gd-156    2.532e+08    0.000e+00    6.557e-14    0.000e+00
  641570   Gd-157    2.051e+04    0.000e+00    5.345e-18    0.000e+00
  641580   Gd-158    3.198e+02    0.000e+00    8.388e-20    0.000e+00
  882280   Ra-228    1.199e+01    4.581e-08    4.541e-21    7.330e-13
  882290   Ra-229    1.933e+01    5.583e-02    7.352e-21    3.462e-09
  892270   Ac-227    1.299e+00    1.310e-09    4.897e-22    7.207e-13
  892290   Ac-229    7.636e+01    1.407e-02    2.904e-20    1.027e-09
  892300   Ac-230    1.351e+00    7.675e-03    5.160e-22    3.070e-11
  892310   Ac-231    9.597e+00    1.478e-02    3.682e-21    1.626e-10
  892320   Ac-232    5.641e+01    3.286e-01    2.174e-20    1.939e-09
  902280   Th-228    4.448e+00    5.109e-08    1.684e-21    2.044e-12
  902290   Th-229    1.030e+05    3.082e-07    3.918e-17    7.398e-11
  902300   Th-230    1.409e+06    4.107e-07    5.384e-16    4.107e-11
  902310   Th-231    1.108e+11    8.361e+05    4.251e-11    2.759e-04
  902320   Th-232    4.835e+12    7.559e-06    1.863e-09    8.315e-10
  902330   Th-233    3.335e+07    1.728e+04    1.290e-14    3.110e-06
  902340   Th-234    6.486e+01    2.159e-05    2.521e-20    1.663e-13
  912290   Pa-229    4.180e+00    2.236e-05    1.590e-21    4.471e-12
  912300   Pa-230    2.364e+02    1.090e-04    9.031e-20    8.285e-11
  912310   Pa-231    1.512e+09    1.014e-03    5.800e-13    1.419e-07
  912320   Pa-232    9.386e+04    5.705e-01    3.617e-17    5.705e-09
  912330   Pa-233    2.031e+11    6.039e+04    7.858e-11    2.355e-04
  912340   Pa-234    1.572e+11    4.517e+06    6.109e-11    1.807e-03
  912341  Pa-234m    1.012e+09    1.009e+07    3.935e-13    1.615e-03
  912350   Pa-235    7.250e+12    3.427e+09    2.830e-09    6.511e+00
  912360   Pa-236    5.466e+07    6.939e+04    2.142e-14    1.735e-04
  912370   Pa-237    3.935e+01    5.225e-02    1.549e-20    8.882e-11
  922310    U-231    7.516e+03    1.436e-02    2.883e-18    5.743e-12
  922320    U-232    1.144e+07    3.646e-03    4.406e-15    1.349e-07
  922330    U-233    3.855e+14    5.318e+01    1.492e-07    5.105e-04
  922340    U-234    4.748e+15    4.248e+02    1.845e-06    3.993e-03
  922350    U-235    2.562e+22    7.994e+05    9.998e+00    6.795e+00
  922351   U-235m    4.691e+12    2.084e+09    1.831e-09    8.962e-05
  922360    U-236    9.135e+17    8.567e+02    3.580e-04    7.453e-03
  922370    U-237    8.876e+11    1.055e+06    3.494e-10    2.004e-03
  922380    U-238    4.825e+07    2.372e-10    1.907e-14    1.898e-15
  922390    U-239    8.830e+00    4.350e-03    3.505e-21    1.044e-13
  932350   Np-235    8.554e+00    1.732e-07    3.339e-21    1.091e-16
