Period: P_2, Chains depth: 8, Method: DIAG
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 3.600e+03 8.348e+05 6.675e+07 0.000e+00 0.000e+00 2.420e+03 1.750e+00 1.256e+03 1.162e+03
 1.000e+03 4.600e+03 1.589e+05 7.798e+06 0.000e+00 0.000e+00 3.264e+02 6.749e-07 1.413e+02 1.851e+02
 1.000e+04 1.460e+04 1.978e+04 1.574e+06 0.000e+00 0.000e+00 3.783e+01 5.662e-07 1.568e+01 2.215e+01
 1.000e+05 1.146e+05 1.133e+03 3.327e+05 0.000e+00 0.000e+00 2.132e+00 5.663e-07 9.217e-01 1.211e+00

Nulicdes at time = 1.146e+05 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  380900    Sr-90    3.130e+17    2.388e+08    4.673e-05    3.820e+01
  380910    Sr-91    3.364e+16    6.725e+11    5.078e-06    2.757e+02
  380920    Sr-92    1.078e+14    7.659e+09    1.645e-08    1.762e+00
  390880     Y-88    2.511e+06    1.889e-01    3.665e-16    8.313e-10
  390890     Y-89    4.512e+15    0.000e+00    6.661e-07    0.000e+00
  390891    Y-89m    8.759e+07    3.876e+06    1.293e-14    3.178e-04
  390900     Y-90    2.279e+13    6.856e+07    3.402e-09    1.028e-01
  390901    Y-90m    3.827e+05    2.310e+01    5.713e-17    2.310e-09
  390910     Y-91    2.818e+17    3.864e+10    4.254e-05    3.439e+02
  390911    Y-91m    1.863e+15    4.329e+11    2.812e-07    4.762e+00
  390920     Y-92    2.555e+15    1.390e+11    3.900e-07    2.502e+01
  390930     Y-93    4.158e+16    7.864e+11    6.415e-06    3.303e+02
  400890    Zr-89    4.312e+01    1.059e-04    6.365e-21    5.823e-14
  400900    Zr-90    4.074e+12    0.000e+00    6.083e-10    0.000e+00
  400910    Zr-91    2.868e+15    0.000e+00    4.330e-07    0.000e+00
  400920    Zr-92    3.262e+17    0.000e+00    4.978e-05    0.000e+00
  400930    Zr-93    3.052e+17    4.382e+03    4.709e-05    1.095e-04
  400940    Zr-94    3.523e+17    0.000e+00    5.493e-05    0.000e+00
  400950    Zr-95    3.496e+17    4.381e+10    5.510e-05    2.585e+02
  400960    Zr-96    3.447e+17    3.785e-10    5.489e-05    1.173e-17
  400970    Zr-97    9.004e+16    1.035e+12    1.449e-05    9.523e+02
  410930    Nb-93    8.188e+06    0.000e+00    1.263e-15    0.000e+00
  410931   Nb-93m    3.186e+08    4.338e-01    4.915e-14    7.809e-10
  410940    Nb-94    7.279e+06    7.876e-06    1.135e-15    3.859e-13
  410950    Nb-95    4.827e+15    1.107e+09    7.606e-07    1.992e+00
  410951   Nb-95m    4.720e+13    1.049e+08    7.438e-09    9.230e-02
  410960    Nb-96    1.487e+07    1.226e+02    2.369e-15    8.094e-08
  410970    Nb-97    6.966e+15    1.116e+12    1.121e-06    5.023e+01
  410971   Nb-97m    8.340e+13    9.848e+11    1.342e-08    6.992e+01
  410981   Nb-98m    2.010e+04    4.526e+00    3.268e-18    2.625e-10
  420940    Mo-94    1.709e+04    0.000e+00    2.665e-18    0.000e+00
  420950    Mo-95    6.265e+13    0.000e+00    9.874e-09    0.000e+00
  420960    Mo-96    1.860e+08    0.000e+00    2.962e-14    0.000e+00
  420970    Mo-97    2.328e+17    0.000e+00    3.747e-05    0.000e+00
  420980    Mo-98    3.137e+17    0.000e+00    5.100e-05    0.000e+00
  420990    Mo-99    2.388e+17    6.970e+11    3.923e-05    6.901e+02
  421000   Mo-100    3.675e+17    1.106e-09    6.096e-05    2.432e-17
  430970    Tc-97    3.650e+02    1.904e-12    5.874e-20    3.428e-21
  430971   Tc-97m    4.536e+01    3.999e-06    7.299e-21    1.640e-14
  430980    Tc-98    2.879e+08    1.506e-06    4.681e-14    6.776e-14
  430990    Tc-99    7.277e+16    7.572e+03    1.195e-05    9.843e-05
  430991   Tc-99m    2.024e+16    6.487e+11    3.324e-06    1.297e+01
  440980    Ru-98    2.348e+02    0.000e+00    3.817e-20    0.000e+00
  440990    Ru-99    2.276e+12    0.000e+00    3.738e-10    0.000e+00
  441000   Ru-100    2.231e+10    0.000e+00    3.701e-12    0.000e+00
  441010   Ru-101    2.826e+17    0.000e+00    4.736e-05    0.000e+00
  441020   Ru-102    2.330e+17    0.000e+00    3.944e-05    0.000e+00
  441030   Ru-103    1.619e+17    3.309e+10    2.766e-05    9.928e+01
  441040   Ru-104    9.309e+16    0.000e+00    1.606e-05    0.000e+00
  441050   Ru-105    3.425e+14    1.485e+10    5.966e-08    2.673e+00
  441060   Ru-106    2.128e+16    4.592e+08    3.743e-06    3.031e+01
  451020   Rh-102    8.422e+05    3.260e-02    1.425e-16    5.541e-10
  451021  Rh-102m    4.826e+05    2.833e-03    8.167e-17    2.011e-11
  451030   Rh-103    3.611e+15    0.000e+00    6.171e-07    0.000e+00
  451031  Rh-103m    1.590e+14    3.274e+10    2.717e-08    8.839e-02
  451050   Rh-105    2.704e+16    1.472e+11    4.711e-06    5.154e+01
  451051  Rh-105m    2.435e+11    4.220e+09    4.243e-11    1.055e-03
  451060   Rh-106    1.992e+10    4.592e+08    3.504e-12    5.970e-04
  451061  Rh-106m    6.047e+07    5.332e+03    1.063e-14    5.866e-07
  461020   Pd-102    8.028e+02    0.000e+00    1.359e-19    0.000e+00
  461030   Pd-103    3.438e+01    1.623e-05    5.876e-21    7.306e-15
  461040   Pd-104    4.639e+08    0.000e+00    8.003e-14    0.000e+00
  461050   Pd-105    1.678e+16    0.000e+00    2.922e-06    0.000e+00
  461060   Pd-106    5.434e+13    0.000e+00    9.556e-09    0.000e+00
  461070   Pd-107    8.101e+15    2.737e+01    1.438e-06    1.615e-08
  461080   Pd-108    3.153e+15    0.000e+00    5.649e-07    0.000e+00
  461090   Pd-109    1.776e+14    2.496e+09    3.212e-08    9.235e-01
  461100   Pd-110    3.443e+12    0.000e+00    6.283e-10    0.000e+00
  461110   Pd-111    2.465e+01    1.217e-02    4.539e-21    1.144e-12
  461111  Pd-111m    4.424e+02    1.549e-02    8.148e-20    7.434e-12
  471070   Ag-107    3.026e+06    0.000e+00    5.373e-16    0.000e+00
  471081  Ag-108m    1.411e+06    7.075e-05    2.528e-16    2.618e-12
  471090   Ag-109    6.869e+14    0.000e+00    1.242e-07    0.000e+00
  471091  Ag-109m    1.426e+11    2.497e+09    2.580e-11    1.273e-04
  471101  Ag-110m    8.946e+06    2.874e-01    1.633e-15    3.448e-09
  471110   Ag-111    2.041e+05    2.197e-01    3.758e-17    3.736e-10
  471111  Ag-111m    1.411e+00    1.509e-02    2.598e-22    3.471e-15
  471130   Ag-113    7.283e+02    2.611e-02    1.365e-19    6.528e-12
  481080   Cd-108    1.586e+06    0.000e+00    2.841e-16    0.000e+00
  481090   Cd-109    2.361e+01    4.105e-07    4.269e-21    3.325e-15
  481100   Cd-110    1.856e+08    0.000e+00    3.387e-14    0.000e+00
  481110   Cd-111    2.682e+04    0.000e+00    4.939e-18    0.000e+00
  481130   Cd-113    6.008e+04    1.641e-19    1.126e-17    1.970e-26
  481131  Cd-113m    6.875e+02    1.071e-06    1.289e-19    1.178e-13
  481140   Cd-114    4.754e+01    0.000e+00    8.991e-21    0.000e+00
  481150   Cd-115    2.787e+05    1.004e+00    5.318e-17    1.104e-09
  481151  Cd-115m    3.266e+05    5.880e-02    6.232e-17    4.528e-10
  481160   Cd-116    2.976e+12    2.109e-15    5.728e-10    3.163e-22
  481170   Cd-117    4.441e+00    3.434e-04    8.621e-22    5.837e-14
  481171  Cd-117m    2.105e+01    1.206e-03    4.086e-21    2.533e-13
  491150   In-115    1.140e+05    5.680e-18    2.176e-17    2.215e-24
  491151  In-115m    2.522e+04    1.082e+00    4.811e-18    6.386e-11
  491170   In-117    9.072e+00    2.426e-03    1.761e-21    7.035e-14
  491171  In-117m    1.333e+01    1.325e-03    2.588e-21    9.541e-14
  501150   Sn-115    5.652e+03    0.000e+00    1.078e-18    0.000e+00
  501170   Sn-117    3.860e+04    0.000e+00    7.494e-18    0.000e+00
  501171  Sn-117m    8.700e+01    5.132e-05    1.689e-20    1.232e-13
  501200   Sn-120    8.592e+04    0.000e+00    1.711e-17    0.000e+00
  501220   Sn-122    1.783e+02    0.000e+00    3.610e-20    0.000e+00
  501230   Sn-123    1.163e+03    7.221e-05    2.373e-19    5.849e-13
  501240   Sn-124    1.518e+07    0.000e+00    3.123e-15    0.000e+00
  501250   Sn-125    3.532e+11    2.940e+05    7.326e-11    9.113e-04
  501260   Sn-126    2.628e+15    2.510e+02    5.494e-07    7.027e-06
  501270   Sn-127    1.605e+11    1.471e+07    3.382e-11    1.913e-03
  501280   Sn-128    4.482e+06    8.767e+02    9.521e-16    8.065e-08
