Period: Step2, Chains depth: 6, Method: DIAG
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
Sr-87	6.7564e+02	0.0000e+00	9.7506e-20	0.0000e+00
Sr-88	1.8866e+16	0.0000e+00	2.7538e-06	0.0000e+00
Sr-89	2.5322e+16	4.0202e+09	3.7383e-06	3.1760e+01
Sr-90	3.1294e+16	2.3875e+07	4.6720e-06	3.8200e+00
Sr-91	3.3625e+15	6.7230e+10	5.0761e-07	2.7564e+01
Sr-92	1.0778e+13	7.6579e+08	1.6450e-09	1.7613e-01
Y-88	2.5099e+05	1.8884e-02	3.6638e-17	8.3090e-11
Y-89	4.5109e+14	0.0000e+00	6.6595e-08	0.0000e+00
Y-90	2.2787e+12	6.8553e+06	3.4019e-10	1.0283e-02
Y-91	2.8174e+16	3.8631e+09	4.2530e-06	3.4381e+01
Y-91m	1.8623e+14	4.3279e+10	2.8112e-08	4.7607e-01
Y-92	2.5549e+14	1.3896e+10	3.8992e-08	2.5013e+00
Y-93	4.1575e+15	7.8634e+10	6.4142e-07	3.3026e+01
Zr-90	4.0737e+11	0.0000e+00	6.0816e-11	0.0000e+00
Zr-91	2.8673e+14	0.0000e+00	4.3282e-08	0.0000e+00
Zr-92	3.2612e+16	0.0000e+00	4.9769e-06	0.0000e+00
Zr-93	3.0519e+16	4.3813e+02	4.7084e-06	1.0953e-05
Zr-94	3.5222e+16	0.0000e+00	5.4924e-06	0.0000e+00
Zr-95	3.4960e+16	4.3801e+09	5.5096e-06	2.5842e+01
Zr-96	3.4446e+16	3.7830e-11	5.4859e-06	1.1727e-18
Zr-97	8.9906e+15	1.0335e+11	1.4468e-06	9.5085e+01
Nb-93	8.1866e+05	0.0000e+00	1.2630e-16	0.0000e+00
Nb-93m	3.1853e+07	4.3375e-02	4.9141e-15	7.8075e-11
Nb-95	4.8259e+14	1.1065e+08	7.6054e-08	1.9916e-01
Nb-95m	4.7190e+12	1.0487e+07	7.4370e-10	9.2286e-03
Nb-96	1.4916e+06	1.2300e+01	2.3756e-16	8.1178e-09
Nb-97	6.9553e+14	1.1144e+11	1.1193e-07	5.0150e+00
Nb-97m	8.3271e+12	9.8329e+10	1.3400e-09	6.9814e+00
Nb-98m	2.0099e+03	4.5261e-01	3.2677e-19	2.6251e-11
Mo-94	1.2437e+02	0.0000e+00	1.9393e-20	0.0000e+00
Mo-95	6.2645e+12	0.0000e+00	9.8725e-10	0.0000e+00
Mo-96	1.8518e+07	0.0000e+00	2.9490e-15	0.0000e+00
Mo-97	2.3249e+16	0.0000e+00	3.7411e-06	0.0000e+00
